Player_ID,data_source,matches,runs,balls_faced,batting_average,strike_rate,boundary_pct,fifties,hundreds,wickets,economy,bowling_strike_rate,balls_bowled,powerplay_sr,middle_sr,death_sr,powerplay_econ,middle_econ,death_econ
AR009,real,42,1029,681,38.1,151.1,61.2,0,0,23,9.6,24.8,571,150.3,146.3,168.1,10.2,8.8,12.6
AR010,real,48,192,174,12.8,110.3,46.9,0,0,46,9.9,22.6,1041,0.0,104.8,113.4,9.4,10.0,11.9
AR011,real,41,716,535,25.6,133.8,55.3,0,0,36,10.4,22.3,803,101.3,126.4,175.8,8.7,11.7,11.8
AR012,real,24,389,299,21.6,130.1,61.2,0,0,9,8.3,18.1,163,0.0,105.0,159.0,0.0,7.5,26.6
AR013,real,56,1314,844,26.3,155.7,68.2,0,0,22,8.0,21.6,476,162.6,144.3,200.8,7.9,8.0,10.3
AR014,real,50,419,252,20.9,166.3,70.6,0,0,58,9.5,19.6,1136,0.0,184.8,153.1,9.9,8.0,11.5
AR015,real,77,1176,847,25.0,138.8,60.7,0,0,59,7.7,26.5,1566,111.5,130.5,164.5,8.4,7.4,9.3
AR016,real,38,702,508,22.6,138.2,57.0,0,0,16,8.9,32.5,520,127.7,116.8,173.6,11.7,7.8,12.5
AR017,real,76,448,370,14.5,121.1,53.1,0,0,59,8.1,29.6,1744,140.4,104.3,143.9,8.7,7.7,10.4
AR018,real,78,982,779,21.3,126.1,53.8,0,0,61,7.9,23.9,1456,98.4,120.1,148.3,8.6,7.6,9.9
AR019,real,39,220,179,11.6,122.9,56.4,0,0,51,8.8,16.5,841,47.1,117.5,138.1,8.6,8.2,10.2
AR020,real,29,104,100,14.9,104.0,51.9,0,0,24,7.7,23.4,561,83.3,80.8,126.0,8.3,7.3,14.0
AR021,real,35,787,541,29.1,145.5,60.5,0,0,13,10.7,25.0,325,89.3,142.5,210.0,10.3,10.6,13.4
AR022,real,18,151,101,15.1,149.5,68.9,0,0,15,9.8,23.6,354,0.0,128.6,196.8,10.0,9.2,10.6
AR023,real,62,1677,1181,31.6,142.0,65.4,0,0,3,10.7,27.0,81,138.5,139.4,176.8,0.0,10.4,11.7
AR024,real,65,301,221,12.5,136.2,59.8,0,0,74,10.1,17.6,1301,0.0,144.8,133.9,10.2,9.6,10.9
AR025,real,68,936,671,21.8,139.5,63.7,0,0,8,9.6,33.9,271,0.0,110.2,169.6,0.0,9.7,8.0
AR026,real,31,579,438,23.2,132.2,54.2,0,0,3,9.2,25.0,75,107.4,124.2,173.1,0.0,9.6,8.3
AR027,real,9,182,136,26.0,133.8,52.7,0,0,3,10.4,28.0,84,88.9,140.0,125.9,14.0,9.8,0.0
AR028,real,28,268,153,24.4,175.2,76.1,0,0,17,12.0,21.2,360,0.0,133.8,205.7,9.2,11.2,16.8
AR029,real,13,151,93,30.2,162.4,64.9,0,0,14,9.9,14.6,204,0.0,163.9,161.4,15.2,8.3,10.7
AR030,real,15,351,267,27.0,131.5,49.0,0,0,1,12.1,48.0,48,124.4,135.0,131.0,0.0,12.1,0.0
AR031,real,16,326,191,27.2,170.7,74.2,0,0,1,13.7,18.0,18,127.3,134.9,232.4,0.0,12.5,16.0
AR032,real,48,602,488,20.8,123.4,49.8,0,0,25,10.1,24.8,619,80.8,106.0,163.1,9.8,10.1,10.9
AR033,real,20,315,196,21.0,160.7,70.5,0,0,0,0.0,0.0,0,106.2,154.1,189.7,0.0,0.0,0.0
AR034,real,24,513,373,24.4,137.5,66.7,0,0,14,9.1,22.2,311,134.5,141.8,138.9,9.7,8.5,11.6
AR035,real,58,1624,1087,31.8,149.4,62.3,0,0,7,10.2,8.0,56,135.5,119.0,200.5,0.0,11.2,9.0
AR036,real,4,31,29,7.8,106.9,38.7,0,0,5,8.1,14.4,72,0.0,105.0,111.1,12.0,7.7,0.0
AR037,real,14,83,55,10.4,150.9,69.9,0,0,4,10.4,50.0,200,153.8,157.7,137.5,10.6,10.7,4.5
AR038,real,42,858,640,22.6,134.1,65.3,0,0,31,7.3,19.2,595,127.2,126.7,181.2,5.3,7.7,3.9
AR039,real,8,47,48,9.4,97.9,38.3,0,0,4,7.2,39.0,156,0.0,103.1,87.5,7.4,7.1,0.0
AR040,real,18,157,89,19.6,176.4,76.4,0,0,13,10.0,22.2,288,250.0,166.7,171.4,9.2,10.6,6.0
PACE001,real,66,35,45,7.0,77.8,45.7,0,0,78,7.4,19.7,1539,0.0,250.0,69.8,7.6,7.1,7.5
PACE002,real,87,171,159,12.2,107.5,64.3,0,0,102,9.4,18.4,1881,127.5,90.3,73.0,9.1,9.0,10.2
PACE003,real,32,59,56,9.8,105.4,64.4,0,0,40,9.7,16.2,649,0.0,129.2,87.5,9.8,9.1,10.3
PACE004,real,90,71,89,8.9,79.8,64.8,0,0,89,8.9,22.0,1956,0.0,45.0,89.9,8.4,8.9,10.5
PACE005,real,69,59,55,6.6,107.3,57.6,0,0,85,8.6,18.3,1558,0.0,88.9,110.9,7.6,9.9,11.0
PACE006,real,99,242,253,11.5,95.7,48.8,0,0,99,8.7,21.8,2157,0.0,80.0,106.4,7.5,9.8,10.1
PACE007,real,55,64,47,21.3,136.2,65.6,0,0,51,9.0,20.9,1068,0.0,120.0,138.1,8.6,9.4,12.1
PACE008,real,30,15,23,3.0,65.2,26.7,0,0,42,10.6,14.7,616,0.0,100.0,61.9,10.9,8.6,11.4
PACE009,real,49,19,30,19.0,63.3,21.1,0,0,71,8.9,15.7,1116,0.0,25.0,88.9,8.3,9.0,10.1
PACE010,real,17,19,25,4.8,76.0,31.6,0,0,19,8.8,19.9,378,0.0,11.1,112.5,7.1,8.1,11.8
PACE011,real,38,28,17,9.3,164.7,64.3,0,0,42,9.6,18.8,790,0.0,100.0,173.3,9.2,8.8,11.5
PACE012,real,76,81,70,11.6,115.7,46.9,0,0,82,8.6,20.4,1671,0.0,114.3,116.1,7.6,9.3,11.0
PACE013,real,33,131,101,10.9,129.7,58.0,0,0,38,9.7,19.8,753,0.0,118.8,139.6,9.4,8.0,11.9
PACE014,real,66,137,111,13.7,123.4,65.7,0,0,87,9.3,17.1,1486,0.0,87.5,143.7,9.2,8.6,10.5
PACE015,real,16,4,9,2.0,44.4,0.0,0,0,22,9.0,16.7,368,0.0,0.0,44.4,9.0,9.3,8.7
PACE016,real,33,0,0,0,0.0,0.0,0,0,47,8.9,15.1,710,0.0,0.0,0.0,6.8,8.6,9.4
PACE017,real,50,16,18,16.0,88.9,25.0,0,0,42,9.1,26.3,1106,0.0,0.0,94.1,7.5,8.9,11.9
PACE018,real,59,2,6,0.7,33.3,0.0,0,0,64,9.1,19.9,1276,0.0,0.0,33.3,8.3,8.7,11.8
PACE019,real,42,10,18,10.0,55.6,0.0,0,0,43,10.7,19.2,824,0.0,100.0,52.9,9.7,10.3,12.8
PACE020,real,27,86,73,12.3,117.8,58.1,0,0,25,8.6,21.1,528,0.0,66.7,134.5,7.9,9.3,14.4
PACE021,real,27,2,8,2,25.0,0.0,0,0,25,9.5,19.8,494,0.0,0.0,25.0,8.8,10.2,11.7
PACE022,real,26,23,16,11.5,143.8,69.6,0,0,29,9.6,17.0,493,0.0,0.0,143.8,19.0,8.7,10.8
PACE023,real,51,1,2,1,50.0,0.0,0,0,56,9.7,19.6,1100,0.0,0.0,50.0,9.2,9.2,10.6
PACE024,real,54,12,20,6.0,60.0,33.3,0,0,72,9.0,16.9,1218,0.0,0.0,60.0,8.0,8.2,11.6
PACE025,real,33,3,19,1.0,15.8,0.0,0,0,42,9.7,15.5,649,0.0,14.3,20.0,10.4,8.9,10.7
PACE026,real,7,7,10,3.5,70.0,57.1,0,0,3,11.0,44.0,132,0.0,71.4,66.7,10.8,11.8,12.0
PACE027,real,6,20,8,20.0,250.0,80.0,0,0,12,10.7,11.0,132,0.0,0.0,250.0,11.0,7.7,14.4
PACE028,real,3,21,17,21.0,123.5,38.1,0,0,4,9.2,17.0,68,0.0,157.1,100.0,3.0,6.2,14.8
PACE029,real,36,12,21,12.0,57.1,50.0,0,0,41,8.7,19.9,817,0.0,0.0,66.7,7.8,7.2,10.6
PACE030,real,96,321,239,16.9,134.3,64.2,0,0,107,9.7,18.3,1957,80.0,120.7,150.0,9.8,8.8,10.6
PACE031,real,48,33,24,11.0,137.5,54.5,0,0,52,10.2,19.2,1001,0.0,180.0,126.3,8.9,10.5,12.3
PACE032,real,25,74,52,24.7,142.3,59.5,0,0,31,10.1,15.8,491,0.0,153.3,137.8,9.6,10.3,10.9
PACE033,real,20,5,11,5,45.5,0.0,0,0,19,9.3,23.7,450,0.0,0.0,45.5,8.7,8.5,11.4
PACE034,real,10,5,5,5.0,100.0,80.0,0,0,9,10.3,24.1,217,0.0,0.0,100.0,10.2,10.0,11.8
