Player_ID,bat_rating,bowl_rating,allround_value,overall_rating,powerplay_rating,middle_rating,death_rating,vs_pace_rating,vs_spin_rating
PACE062,8.8,45.2,39.8,30.0,63.7,32.5,35.0,19.9,50.0
PACE063,1.7,40.5,34.6,20.4,47.5,43.8,37.5,50.0,50.0
PACE064,5.8,35.2,30.8,12.3,22.5,38.7,25.0,50.0,50.0
PACE065,13.1,15.7,15.3,2.2,75.0,68.8,46.2,50.0,50.0
PACE066,3.5,14.5,12.9,1.1,58.7,52.5,26.2,50.0,50.0
SPIN001,10.5,66.4,58.0,91.0,65.0,72.5,25.0,32.9,47.9
SPIN002,40.0,72.9,68.0,99.8,70.0,78.8,57.5,51.4,48.7
SPIN003,16.2,66.9,59.3,96.0,67.5,71.2,83.8,12.6,39.8
SPIN004,4.2,24.2,21.2,9.6,76.2,83.8,87.5,50.0,50.0
SPIN005,7.9,68.8,59.6,90.4,90.0,71.2,58.7,42.8,50.0
SPIN006,16.1,69.6,61.6,98.0,31.2,76.2,61.3,15.8,46.5
SPIN007,18.8,53.5,48.3,67.5,100.0,77.5,37.5,37.1,50.0
SPIN008,8.2,57.1,49.8,67.0,66.3,72.5,70.0,29.0,50.0
SPIN009,3.7,18.3,16.1,6.5,87.5,92.5,76.2,50.0,50.0
SPIN010,27.8,48.6,45.5,54.9,50.0,82.5,32.5,42.4,41.8
SPIN011,2.0,39.4,33.8,22.0,83.8,63.7,43.8,50.0,50.0
SPIN012,2.2,37.7,32.4,16.8,68.8,76.2,57.5,50.0,50.0
SPIN013,4.5,19.0,16.9,4.5,71.2,76.2,57.5,50.0,50.0
SPIN014,13.7,52.2,46.5,52.2,57.5,71.2,56.2,45.5,50.0
SPIN015,15.9,55.6,49.6,68.2,37.5,70.0,23.8,50.0,50.0
SPIN016,2.8,49.3,42.4,37.2,93.8,57.5,0.0,41.1,50.0
SPIN017,40.2,36.8,37.3,24.0,0.0,67.5,0.0,42.8,48.4
SPIN018,1.6,44.0,37.6,26.0,0.0,68.8,25.0,50.0,50.0
SPIN019,16.3,32.6,30.1,13.0,0.0,46.2,100.0,46.1,50.0
SPIN020,32.6,17.0,19.3,7.0,62.5,33.7,0.0,48.3,50.0
SPIN021,32.5,42.2,40.8,31.8,0.0,61.3,37.5,51.9,50.0
SPIN022,2.2,20.6,17.8,4.5,56.2,85.0,66.3,50.0,50.0
SPIN023,32.8,42.2,40.8,31.8,63.7,63.7,0.0,52.6,49.7
SPIN024,3.0,17.9,15.7,1.6,62.5,67.5,45.0,50.0,50.0
SPIN025,1.4,23.9,20.6,5.2,0.0,55.0,0.0,50.0,50.0
SPIN026,0.8,18.2,15.6,3.4,75.0,50.0,0.0,50.0,50.0
